year,fuel,emissions_mt
1900,Solid Fuel,1887.0
1900,Liquid Fuel,58.6
1900,Gas Fuel,11.0
1901,Solid Fuel,1945.6
1901,Liquid Fuel,66.0
1901,Gas Fuel,14.7
1902,Solid Fuel,1989.6
1902,Liquid Fuel,69.6
1902,Gas Fuel,14.7
1903,Solid Fuel,2172.8
1903,Liquid Fuel,73.3
1903,Gas Fuel,14.7
1904,Solid Fuel,2187.4
1904,Liquid Fuel,84.3
1904,Gas Fuel,14.7
1905,Solid Fuel,2330.3
1905,Liquid Fuel,84.3
1905,Gas Fuel,18.3
1906,Solid Fuel,2491.5
1906,Liquid Fuel,84.3
1906,Gas Fuel,18.3
1907,Solid Fuel,2748.0
1907,Liquid Fuel,102.6
1907,Gas Fuel,18.3
1908,Solid Fuel,2616.1
1908,Liquid Fuel,109.9
1908,Gas Fuel,18.3
1909,Solid Fuel,2737.0
1909,Liquid Fuel,117.2
1909,Gas Fuel,22.0
1910,Solid Fuel,2850.6
1910,Liquid Fuel,124.6
1910,Gas Fuel,25.6
1911,Solid Fuel,2901.9
1911,Liquid Fuel,131.9
1911,Gas Fuel,25.6
1912,Solid Fuel,3055.8
1912,Liquid Fuel,135.6
1912,Gas Fuel,29.3
1913,Solid Fuel,3279.3
1913,Liquid Fuel,150.2
1913,Gas Fuel,29.3
1914,Solid Fuel,2931.2
1914,Liquid Fuel,153.9
1914,Gas Fuel,29.3
1915,Solid Fuel,2872.6
1915,Liquid Fuel,164.9
1915,Gas Fuel,33.0
1916,Solid Fuel,3085.1
1916,Liquid Fuel,175.9
1916,Gas Fuel,36.6
1917,Solid Fuel,3264.6
1917,Liquid Fuel,197.9
1917,Gas Fuel,40.3
1918,Solid Fuel,3198.7
1918,Liquid Fuel,194.2
1918,Gas Fuel,36.6
1919,Solid Fuel,2693.0
1919,Liquid Fuel,223.5
1919,Gas Fuel,36.6
1920,Solid Fuel,3088.8
1920,Liquid Fuel,285.8
1920,Gas Fuel,40.3
1921,Solid Fuel,2597.8
